시도,시군구,발생년도,2014년,2014년,2015년,2015년,2016년,2016년,2017년,2017년,2018년,2018년
시도,시군구,발생년도,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상,65-70세,71세이상
경기,수원시,사망자수,1,2,3,2,3,0,1,1,5,2
경기,수원시,부상자수,252,138,258,178,281,203,380,226,359,197
경기,성남시,사고건수,129,84,162,97,197,111,210,127,234,168
경기,성남시,사망자수,3,1,1,0,2,1,5,0,0,1
경기,성남시,부상자수,169,113,231,139,294,163,305,182,366,252
경기,의정부시,사고건수,70,56,100,52,90,40,92,59,123,73
경기,의정부시,사망자수,3,0,0,3,0,1,4,0,1,2
경기,의정부시,부상자수,93,66,154,80,142,54,146,92,211,105
경기,안양시,사고건수,73,50,104,55,102,55,119,55,108,72
경기,안양시,사망자수,2,2,0,2,3,0,0,1,0,3
경기,안양시,부상자수,102,67,152,81,154,78,155,91,157,118
경기,부천시,사고건수,103,56,171,83,149,89,157,108,202,105
경기,부천시,사망자수,1,2,7,2,0,2,4,1,5,2
경기,부천시,부상자수,130,68,255,128,213,112,198,145,265,127
경기,안산시,사고건수,99,46,111,76,118,97,142,91,168,122
경기,안산시,사망자수,1,0,6,4,0,2,2,3,1,2
경기,안산시,부상자수,147,77,149,100,165,141,208,112,276,205
경기,평택시,사고건수,117,55,125,114,122,100,146,123,184,142
경기,평택시,사망자수,4,2,3,8,2,5,3,6,1,2
경기,평택시,부상자수,201,79,233,170,194,138,225,161,301,214
경기,광명시,사고건수,35,21,70,35,67,36,65,30,78,46
경기,광명시,사망자수,0,2,1,0,1,1,0,0,2,0
경기,광명시,부상자수,55,27,106,54,97,51,84,47,119,57
경기,구리시,사고건수,25,18,31,23,39,23,36,35,36,36
경기,구리시,사망자수,0,1,0,0,0,1,1,1,0,1
경기,구리시,부상자수,39,23,55,30,60,38,52,47,46,50
경기,양주시,사고건수,50,29,54,43,60,45,67,48,62,72
경기,양주시,사망자수,2,1,2,2,2,1,0,1,2,2
경기,양주시,부상자수,81,43,84,62,84,62,99,71,85,107
경기,여주시,사고건수,24,33,22,38,40,56,34,39,45,47
경기,여주시,사망자수,1,1,0,1,1,3,1,2,1,4
경기,여주시,부상자수,38,45,35,52,66,70,65,47,61,64
경기,화성시,사고건수,101,60,99,53,109,76,136,99,154,91
경기,화성시,사망자수,4,5,0,3,3,3,2,8,6,3
경기,화성시,부상자수,150,107,160,69,184,116,235,144,263,131
경기,시흥시,사고건수,63,34,91,54,86,45,96,51,125,70
경기,시흥시,사망자수,0,3,2,1,1,1,2,0,2,0
경기,시흥시,부상자수,121,41,141,82,121,65,138,81,200,102
경기,파주시,사고건수,81,56,82,68,76,60,97,68,98,118
경기,파주시,사망자수,1,3,1,3,0,3,1,4,0,0
경기,파주시,부상자수,109,73,131,99,121,83,133,98,162,164
경기,고양시,사고건수,178,106,184,148,164,134,180,148,239,192
경기,고양시,사망자수,3,1,5,2,3,2,3,1,1,4
경기,고양시,부상자수,297,173,288,197,211,202,259,209,363,287
경기,광주시,사고건수,55,36,63,47,74,57,77,49,121,79
경기,광주시,사망자수,2,2,2,1,5,4,3,1,4,2
경기,광주시,부상자수,82,53,77,72,104,86,108,98,186,124
경기,연천군,사고건수,22,11,24,21,28,13,15,31,27,25
경기,연천군,사망자수,1,0,2,1,0,2,0,1,1,1
경기,연천군,부상자수,39,18,40,33,55,18,32,47,40,38
경기,포천시,사고건수,54,45,76,38,60,38,54,59,65,63
경기,포천시,사망자수,4,5,4,0,3,2,4,0,1,1
경기,포천시,부상자수,94,77,136,81,101,53,108,98,122,109
경기,가평군,사고건수,28,17,19,25,29,22,29,27,27,34
경기,가평군,사망자수,1,5,0,0,3,1,3,1,2,2
경기,가평군,부상자수,66,13,42,35,53,26,60,65,41,55
