,도시,2014,2015,2016,2017,2018,합계,고령운전자 사고합계,5년 고령운전자 사고비율,2014년 고령운전자 사고비율,2015년 고령운전자 사고비율,2016년 고령운전자 사고비율,2017년 고령운전자 사고비율,2018년 고령운전자 사고비율
208,경북울진군,83,85,106,116,139,3235,529,16.35,13.11,13.56,16.28,17.34,21.22
209,경북울릉군,10,9,17,9,10,269,55,20.45,22.73,19.15,33.33,15.52,14.49
210,경북경산시,389,414,429,628,856,32329,2716,8.4,6.23,6.65,6.79,9.54,12.31
211,경남진주시,430,468,487,679,922,31231,2986,9.56,7.09,7.65,8.17,10.89,13.45
212,경남통영시,148,177,185,257,303,11854,1070,9.03,6.22,7.14,7.94,11.08,12.92
213,경남김해시,533,563,596,929,1281,58795,3902,6.64,4.41,4.93,5.21,7.98,10.51
214,경남밀양시,214,183,201,299,302,9685,1199,12.38,11.81,9.49,9.99,15.26,15.31
215,경남거제시,184,194,193,293,479,22803,1343,5.89,3.74,4.07,4.13,6.7,11.81
216,경남의령군,54,58,62,65,97,1613,336,20.83,15.34,17.31,21.91,19.88,30.7
217,경남함안군,118,139,156,216,273,9303,902,9.7,6.54,7.47,9.11,11.51,13.34
218,경남창녕군,141,174,171,204,258,5370,948,17.65,14.36,17.28,16.27,17.72,21.88
219,경남양산시,295,322,354,532,732,30059,2235,7.44,5.54,5.7,5.99,8.44,10.66
220,경남고성군,92,94,94,142,170,4406,592,13.44,10.62,10.32,10.22,16.86,19.61
221,경남사천시,200,216,224,310,332,10740,1282,11.94,9.89,9.83,11.21,13.9,14.49
222,경남남해군,96,110,110,102,141,2817,559,19.84,17.55,19.82,19.57,18.41,23.54
223,경남하동군,90,102,91,125,122,3206,530,16.53,14.11,14.15,15.69,20.06,18.94
224,경남산청군,57,79,82,94,98,2019,410,20.31,15,22.97,20.2,22.01,21.21
225,경남함양군,82,68,91,116,112,2481,469,18.9,17.19,14.41,19.08,22.57,20.7
226,경남거창군,102,119,141,145,161,3908,668,17.09,13.62,15.28,17.74,19.03,19.56
227,경남합천군,90,86,112,137,125,2508,550,21.93,18.26,17.2,23.68,27.29,23.15
228,경남창원시(통합),1109,718,1113,1871,2628,93818,7439,7.93,4.98,5.75,6.23,9.21,12.58
229,제주제주시,584,612,692,896,1225,54404,4009,7.37,5.97,6.04,6.53,7.93,9.73
230,제주서귀포시,279,311,324,422,471,16311,1807,11.08,10.24,10.6,10.2,12.06,11.84
